place,Population
Alabama,4903190
Alaska,731545
Arizona,7278720
Arkansas,3017800
California,39512200
Colorado,5758740
Connecticut,3565290
Delaware,973764
District of Columbia,705749
Florida,21477737
Georgia,10617400
Hawaii,1415870
Idaho,1787070
Illinois,12671800
Indiana,6732220
Iowa,3155070
Kansas,2913310
Kentucky,4467670
Louisiana,4648790
Maine,1344210
Maryland,6045680
Massachusetts,6892500
Michigan,9986860
Minnesota,5639630
Mississippi,2976150
Missouri,6137430
Montana,1068780
Nebraska,1934410
Nevada,3080160
New Hampshire,1359710
New Jersey,8882190
New Mexico,2096830
New York,19453600
North Carolina,10488100
North Dakota,762062
Ohio,11689100
Oklahoma,3956970
Oregon,4217740
Pennsylvania,12802000
Rhode Island,1059360
South Carolina,5148710
South Dakota,884659
Tennessee,6829170
Texas,28995881
Utah,3205960
Vermont,623989
Virginia,8535520
Washington,7614890
West Virginia,1792150
Wisconsin,5822430
Wyoming,578759
Puerto Rico,3318447
